time/fps,time/total_timesteps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/value_loss,train/approx_kl,train/std,train/clip_range,train/clip_fraction,train/loss,train/policy_gradient_loss,train/explained_variance,train/entropy_loss,train/n_updates,train/learning_rate
1333,3751936,2813,458,924.6994177399997,254.39,0.008112108543241448,0.03797163,0.1731288880109787,0.2,0.35557861328125,0.010174139402806759,0.0020430878408660646,0.9826545640826225,0.9960271248128265,4590,0.0003
1333,3760128,2819,459,929.1423368999999,255.16,0.013237209481076206,0.04069622,0.17534588277339935,0.2,0.362109375,-0.03755277395248413,0.0001337046169282985,0.9677633158862591,0.9783162540756166,4600,0.0003
1333,3768320,2825,460,932.9980615599998,256.12,0.0004949986910332882,0.041330084,0.17366446554660797,0.2,0.33497314453125,-0.011390617117285728,0.0007443634087394458,0.9965815178584307,0.9915865280665457,4610,0.0003
1333,3776512,2832,461,936.4746566400001,256.83,0.0022194138380541516,0.03162226,0.17220397293567657,0.2,0.335302734375,0.04427429661154747,0.00509852536042672,0.9938396252691746,1.0191183567978441,4620,0.0003
1333,3784704,2838,462,943.7470447699999,258.57,0.0008899526132267966,0.03690451,0.17388685047626495,0.2,0.3333740234375,-0.05022517964243889,0.004657588430018222,0.9969846752937883,1.0114417305681855,4630,0.0003
1333,3792896,2844,463,946.8068036499999,259.25,0.00017618163173551692,0.037358683,0.1746796816587448,0.2,0.33187255859375,-0.038298413157463074,0.0015711990832642186,0.9991399832069874,0.9889146029483527,4640,0.0003
1333,3801088,2850,464,951.07582292,260.09,9.252978580605031e-05,0.035721656,0.17559202015399933,0.2,0.32298583984375,0.029602142050862312,0.0029027110163951874,0.9996437764784787,0.9775068051181733,4650,0.0003
1333,3809280,2856,465,950.88899038,259.73,6.954228361735204e-05,0.037413727,0.17486362159252167,0.2,0.3298583984375,0.04091174900531769,0.0013157758126908447,0.9997808964690194,0.9820041242055595,4660,0.0003
1333,3817472,2862,466,948.6795646300001,259.14,6.68473913805201e-05,0.03391526,0.17497551441192627,0.2,0.3241455078125,0.013747423887252808,0.0025216794689185917,0.9998042178776814,0.991180409770459,4670,0.0003
1333,3825664,2868,467,948.05622744,258.87,9.866417592689914e-05,0.041591894,0.17559628188610077,0.2,0.347900390625,0.0025518368929624557,-0.0014387078210347682,0.999763899599202,0.9772820624522864,4680,0.0003
1333,3833856,2874,468,948.0997387499998,258.94,3.93488317499191e-05,0.0353042,0.17417745292186737,0.2,0.3201171875,-0.010538317263126373,-0.0006511284986117971,0.9998838061583228,0.9919073352590203,4690,0.0003
1333,3842048,2881,469,947.15829717,258.55,4.258258037168616e-05,0.035599813,0.17210395634174347,0.2,0.33739013671875,0.06007695570588112,0.0011703095678967657,0.99989391159761,1.0207836642395705,4700,0.0003
1333,3850240,2887,470,947.22351061,258.32,0.00010870142443479836,0.036041953,0.1722666621208191,0.2,0.33013916015625,-0.01703716441988945,-0.0009119225440372247,0.9997089101816528,1.025551780499518,4710,0.0003
1333,3858432,2893,471,943.4774825599999,257.15,3.140102265959399e-05,0.03281404,0.17261286079883575,0.2,0.32913818359375,-0.039163775742053986,0.0022432351550378373,0.9999102519504959,1.03155730208382,4720,0.0003
1333,3866624,2899,472,941.2398071499999,256.54,0.00019278755009537462,0.038485765,0.17132966220378876,0.2,0.3464599609375,-0.03100193291902542,-6.0458184907474785e-05,0.9996196531574242,1.031077968981117,4730,0.0003
1333,3874816,2905,473,940.74524036,256.5,0.003743000579737554,0.03711826,0.17194412648677826,0.2,0.3363525390625,-0.033821865916252136,0.002101054854574613,0.9924078504554927,1.0284331337548793,4740,0.0003
1333,3883008,2911,474,943.87409377,257.45,0.00021615631225984088,0.03463527,0.17104007303714752,0.2,0.33719482421875,-0.008955401368439198,0.004865653654110247,0.9971623374149203,1.0457523298449813,4750,0.0003
1333,3891200,2917,475,945.36061776,257.46,7.693404711233143e-05,0.0368006,0.17083370685577393,0.2,0.327783203125,0.013116393238306046,0.0024133026192430405,0.9995402405911591,1.0508946662768721,4760,0.0003
1333,3899392,2924,476,940.8062576000001,255.8,5.692415305418308e-05,0.031754225,0.171596959233284,0.2,0.3203369140625,0.052804335951805115,0.005630375962937251,0.9997859190334566,1.045050864201039,4770,0.0003
1333,3907584,2930,477,936.30008299,254.11,5.379003470906696e-05,0.0307352,0.1714257448911667,0.2,0.31263427734375,0.003421865636482835,0.003858569662406808,0.9998292276432039,1.040720879007131,4780,0.0003
1333,3915776,2936,478,935.47464612,253.68,0.000149368077771328,0.039786533,0.17198443412780762,0.2,0.3436279296875,-0.015750538557767868,0.0007255941591211013,0.9996686708473135,1.0368340447545052,4790,0.0003
1333,3923968,2942,479,936.7692650500001,254.23,3.265755005301685e-05,0.03184497,0.17091433703899384,0.2,0.33193359375,-0.001710476353764534,0.002511385402431188,0.9998973980400478,1.043780774436891,4800,0.0003
1333,3932160,2948,480,941.23808257,255.72,4.087381715152105e-05,0.035613194,0.17087596654891968,0.2,0.32999267578125,-0.03182445839047432,0.002050753007097228,0.9998942827805877,1.0530486228875815,4810,0.0003
1333,3940352,2954,481,941.8122786000001,256.02,4.3316181449881694e-05,0.037491407,0.17147476971149445,0.2,0.32408447265625,-0.0007252234499901533,0.0006085366105253343,0.9998774448467884,1.0422832322306932,4820,0.0003
1333,3948544,2960,482,937.27990737,255.2,3.8475553647998595e-05,0.03350237,0.17277969419956207,0.2,0.3232666015625,0.008466161787509918,0.0021113815342687302,0.9999060740083223,1.0264101791195572,4830,0.0003
