rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/std,train/learning_rate,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/approx_kl,train/n_updates
879.9514865200002,376832,268.4,184,764,493,-0.012327621484291739,0.024179280711177854,-1.517569363117218,0.40764346718788147,0.0003,0.2,0.209716796875,-0.014289029873907566,0.9386431835591793,0.01842131,1830
878.0699758299999,378880,267.7,185,764,495,-0.012039353110594675,0.0038849536333145805,-1.5073597233742475,0.4044795036315918,0.0003,0.2,0.216796875,-0.0024043740704655647,0.9759998507797718,0.020770214,1840
880.15176118,380928,268.37,186,764,498,-0.010009503039327683,0.004125457996633486,-1.4921346999704839,0.40374621748924255,0.0003,0.2,0.233203125,-0.034107889980077744,0.9643027931451797,0.02003463,1850
873.86056788,382976,266.36,187,764,501,-0.01170792660850566,0.022263301312341353,-1.494223253801465,0.40371963381767273,0.0003,0.2,0.219091796875,-0.011871114373207092,0.9199895262718201,0.019225776,1860
866.14168752,385024,264.2,188,764,503,-0.014634904998820275,0.0023834281208110044,-1.476418237015605,0.3994976282119751,0.0003,0.2,0.18173828125,-0.031737733632326126,0.9912790013477206,0.016533876,1870
857.7833577699998,387072,261.73,189,764,506,-0.013455987659835956,0.0013090826463667327,-1.4595856111496688,0.3998548090457916,0.0003,0.2,0.19697265625,0.004402784164994955,0.9958576010540128,0.017265085,1880
848.29952498,389120,259.05,190,764,509,-0.013352232283796183,0.0016958656571659958,-1.4537747334688902,0.39787161350250244,0.0003,0.2,0.2095703125,-0.02298315055668354,0.9960753433406353,0.018625475,1890
850.73600129,391168,259.76,191,764,511,-0.014443798421416432,0.001047543544882501,-1.433868608996272,0.39573168754577637,0.0003,0.2,0.223046875,-0.029518160969018936,0.9968591667711735,0.024559682,1900
848.83003577,393216,258.9,192,764,514,-0.011858405961538665,0.0011066335050600173,-1.4236132938414812,0.3955664336681366,0.0003,0.2,0.175146484375,0.004218703601509333,0.9962789106648415,0.014616438,1910
837.7323479999998,395264,255.89,193,764,517,-0.0159403338591801,0.0010100852881805623,-1.4538138382136823,0.4028390944004059,0.0003,0.2,0.2244140625,-0.007077271584421396,0.9966237980406731,0.020121813,1920
844.3610795900001,397312,257.4,194,764,519,-0.014500235268496909,0.0022827125185358454,-1.4803572826087474,0.4033583402633667,0.0003,0.2,0.202490234375,-0.039298564195632935,0.9920817296952009,0.018661957,1930
848.27005019,399360,258.32,195,764,522,-0.011715632917184849,0.001381682029023068,-1.4654307633638382,0.3994320333003998,0.0003,0.2,0.20302734375,-0.032016824930906296,0.9951769360341132,0.02110473,1940
861.8844981999999,401408,261.67,196,764,525,-0.012233915899560088,0.0008345800453753327,-1.4462840937077999,0.39827975630760193,0.0003,0.2,0.199462890625,-0.0020092339254915714,0.9967004174832255,0.023050763,1950
861.43420283,403456,261.3,197,764,527,-0.012574031131953234,0.0016890146489458857,-1.4217295613139869,0.39381250739097595,0.0003,0.2,0.211572265625,-0.02707638218998909,0.9911338984966278,0.018937245,1960
860.3998230300001,405504,260.96,198,764,530,-0.017849372838099953,0.0011768656240747077,-1.3999332256615162,0.39229628443717957,0.0003,0.2,0.229931640625,-0.025302967056632042,0.9968800011556596,0.025240751,1970
863.4729938800001,407552,261.68,199,764,533,-0.010621134733082727,0.0007104060224264686,-1.3864334888756276,0.3897685110569,0.0003,0.2,0.216796875,-0.005817142315208912,0.9978360759560019,0.020665444,1980
871.8089242199999,409600,263.94,200,764,535,-0.01368360126944026,0.023846533711184746,-1.3745307307690382,0.38909366726875305,0.0003,0.2,0.2216796875,-0.029442891478538513,0.928756095468998,0.022569273,1990
882.4586105699999,411648,266.7,201,764,538,-0.00874872616986977,0.0018432701826895936,-1.3734829839318992,0.3901209533214569,0.0003,0.2,0.207421875,-0.0475165992975235,0.982576034963131,0.018666532,2000
889.8905152600001,413696,268.89,202,764,541,-0.014326791911298643,0.0014088165461544123,-1.3668620087206365,0.3873260021209717,0.0003,0.2,0.2349609375,-0.02081512100994587,0.996288932627067,0.019196663,2010
899.05929231,415744,271.41,203,764,543,-0.013852356755523942,0.001293099049689772,-1.339507643505931,0.3828917443752289,0.0003,0.2,0.21337890625,0.0015731081366539001,0.9964040408376604,0.021543797,2020
902.3662109199997,417792,272.26,204,764,546,-0.011055617159581744,0.0010538651010392642,-1.312442909926176,0.3798842430114746,0.0003,0.2,0.20205078125,-0.0300633292645216,0.9971773566212505,0.02401195,2030
902.4046747699998,419840,272.11,205,764,549,-0.009631762088974937,0.0006069896350254566,-1.2920935790985824,0.3782031834125519,0.0003,0.2,0.188916015625,-0.015660960227251053,0.9980998202227056,0.014763547,2040
908.7835422400001,421888,273.76,206,764,551,-0.014067797893221722,0.0007934924999972281,-1.2812333922833203,0.3775131404399872,0.0003,0.2,0.225341796875,-0.012543387711048126,0.9974010789301246,0.020024845,2050
912.3471403899999,423936,274.59,207,764,554,-0.016418068957864306,0.00027598014407885784,-1.2723900008946658,0.37602874636650085,0.0003,0.2,0.218212890625,0.019926145672798157,0.9991676557692699,0.020965429,2060
917.8554999400002,425984,276.27,208,764,557,-0.012664564941951539,0.0006214077787262795,-1.2580092083662748,0.373902291059494,0.0003,0.2,0.2076171875,0.0019772688392549753,0.9976110733114183,0.018508524,2070
913.1758384700001,428032,275.08,209,764,559,-0.0143546738603618,0.0005280303466861369,-1.2501607254147529,0.3739381730556488,0.0003,0.2,0.227880859375,-0.02544013038277626,0.9982414385303855,0.022194892,2080
919.05751079,430080,276.65,210,764,562,-0.010192999901482836,0.0003762463808016037,-1.2381383892148734,0.37169504165649414,0.0003,0.2,0.209814453125,-0.019417643547058105,0.9986187785398215,0.02294201,2090
922.0023896099998,432128,277.42,211,764,565,-0.01092486411507707,0.00046892173809283123,-1.2332201056182384,0.3717688322067261,0.0003,0.2,0.204638671875,-0.016953537240624428,0.9984687562100589,0.01741681,2100
922.62009445,434176,277.58,212,764,568,-0.013988051824708237,0.0004706099051873025,-1.241384832933545,0.37355318665504456,0.0003,0.2,0.2251953125,0.008479800075292587,0.998645496671088,0.01785564,2110
934.79561425,436224,280.73,213,764,570,-0.010699759225099114,0.00135843484695215,-1.2370323020964862,0.37016168236732483,0.0003,0.2,0.232568359375,-0.013989539816975594,0.9941158914007246,0.022529157,2120
943.0745107399999,438272,282.98,214,764,573,-0.013830489639076404,0.000855694102938287,-1.2005244739353658,0.3654058277606964,0.0003,0.2,0.23193359375,-0.01778743974864483,0.9939948613755405,0.022941226,2130
942.68089546,440320,283.05,215,764,576,-0.012746302896994166,0.0009745709861817886,-1.1744817554950715,0.3634178340435028,0.0003,0.2,0.212841796875,-0.04071364179253578,0.9970591496676207,0.02202725,2140
942.19548597,442368,282.97,216,764,578,-0.008895745361223817,0.03561694537493167,-1.1598921053111553,0.36161932349205017,0.0003,0.2,0.228173828125,-0.013503316789865494,0.9097499176859856,0.018035498,2150
945.28513058,444416,283.74,217,764,581,-0.0020134238089667632,0.0239646157646348,-1.1604200012981891,0.36409226059913635,0.0003,0.2,0.18955078125,0.005792466923594475,0.9254527240991592,0.021393882,2160
940.50383928,446464,282.58,218,764,584,-0.00879667669069022,0.0020255235152944807,-1.1540258888155221,0.36128702759742737,0.0003,0.2,0.190869140625,-0.002003083936870098,0.9848072379827499,0.0210174,2170
938.3310026499998,448512,282.19,219,764,586,-0.006554007937666029,0.01820645732259436,-1.1501008443534375,0.3629120886325836,0.0003,0.2,0.20458984375,0.02419266849756241,0.9352787658572197,0.0154784955,2180
